id,bim360_account_id,bim360_project_id,date,summary_key,temperature_min,temperature_max,humidity,wind_speed,wind_gust,wind_bearing,fetched_at,precipitation_accumulation
18790568,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-01,Rain,78.602,89.654,0.780,6.3,,88,2025-08-04 04:41:55.997125,0.315354330708661
18790569,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-02,Rain,79.196,90.644,0.730,9.4,,102,2025-07-02 12:07:47.106436,0.396850393700787
18790570,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-03,Rain,78.08,91.886,0.740,8.5,,103,2025-07-03 12:48:54.212312,0.343700787401575
18791666,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-01,Drizzle,76.856,89.078,0.750,5.8,,105,2025-07-06 04:39:35.818932,0.117716535433071
18791667,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-02,Rain,78.71,88.898,0.720,7.3,,103,2025-07-06 04:48:36.791558,0.283464566929134
18791668,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-03,Rain,78.26,90.716,0.740,7.0,,110,2025-07-06 04:49:36.06934,0.519685039370079
18824734,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-04,Rain,78.746,90.446,0.770,7.1,,103,2025-07-07 05:32:14.087401,0.491338582677165
18825535,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-04,Rain,79.178,92.57,0.730,4.3,,112,2025-07-29 05:38:09.997465,0.170472440944882
18853589,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-05,Rain,79.322,92.3,0.720,3.4,,138,2025-07-06 05:08:32.043792,0.30511811023622
18883693,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-06,Rain,79.898,92.732,0.700,5.0,,97,2025-07-07 12:30:19.909402,0.147244094488189
18911328,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-06,Thunderstorms,79.628,90.428,0.740,3.2,,47,2025-07-07 12:44:43.727187,0.265748031496063
18911329,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-07,Thunderstorms,78.458,89.438,0.770,3.1,,331,2025-07-23 11:15:35.914049,0.69251968503937
18911330,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-08,MostlyCloudy,78.71,92.696,0.690,5.2,,299,2025-07-23 11:22:36.837227,0.0700787401574803
18913495,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-09,HeavyRain,77.558,90.536,0.720,5.3,,350,2025-07-23 11:53:25.264384,1.6511811023622
18914366,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-07,Drizzle,80.87,94.694,0.650,5.4,,96,2025-07-08 09:02:43.126109,0.0480314960629921
18914367,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-08,Rain,81.23,95.702,0.660,4.0,,119,2025-07-09 09:40:02.435454,0.390944881889764
18914368,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-09,Rain,79.808,85.622,0.800,6.3,,115,2025-07-10 17:05:24.322046,1.1255905511811
19037252,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-10,Thunderstorms,78.314,90.968,0.730,4.8,,41,2025-07-10 17:05:24.32225,0.136614173228346
19037253,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-11,Drizzle,80.078,92.372,0.700,5.9,,82,2025-07-13 04:43:16.676584,0.0948818897637795
19037254,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-12,Thunderstorms,79.358,90.734,0.760,7.1,,99,2025-07-13 05:06:01.175091,1.05826771653543
19057106,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-13,Thunderstorms,79.178,89.312,0.790,7.9,,114,2025-07-14 06:41:36.294887,0.63503937007874
19063902,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-14,Rain,78.404,88.844,0.780,11.4,,104,2025-07-29 06:15:31.251554,0.511417322834646
19063903,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-15,Drizzle,77.45,88.538,0.770,10.5,,131,2025-07-23 11:58:14.989537,0.196456692913386
19066071,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-07-07,Thunderstorms,77.306,90.878,0.750,3.2,,121,2025-07-07 04:25:53.109983,0.729133858267717
19066072,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-07-08,Drizzle,79.88,93.002,0.670,5.2,,297,2025-07-08 09:49:19.990471,0.0405511811023622
19069580,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-14,Rain,78.71,91.4,0.760,8.0,,134,2025-07-17 09:49:01.739444,0.333858267716535
19069581,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-15,Rain,78.674,89.978,0.770,5.8,,130,2025-07-19 03:01:47.066589,0.374803149606299
19069582,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-16,Rain,78.926,89.492,0.750,8.0,,67,2025-07-17 01:08:43.33899,0.345275590551181
19124608,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-07-17,Rain,78.008,85.46,0.810,15.0,,86,2025-07-17 09:49:01.73988,0.363385826771654
19127999,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-07-16,Rain,77.738,88.232,0.760,6.2,,143,2025-07-29 06:21:21.328364,0.447637795275591
