id,bim360_account_id,bim360_project_id,rfi_id,from_status,to_status,created_at,created_by
4d719ea1-111b-4905-b2b0-2d426e4eda40,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,submitted,openRev1,2025-05-22 10:37:14.852,3NH2Q57QKQWJE37V
0c71282d-44b0-4850-808e-7fff737a0870,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,openRev1,openRev2,2025-05-22 10:42:48.956,3NH2Q57QKQWJE37V
bfab4766-0c77-4d6f-a86e-a9e8a94c57b8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,openRev2,answeredRev1,2025-05-22 10:43:41.719,3NH2Q57QKQWJE37V
25b0e16e-e25b-4c70-a651-048e18a88e29,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,answeredRev1,answeredManager,2025-05-22 10:43:47.233,3NH2Q57QKQWJE37V
1bce57fe-15be-4673-831c-54891eb2c396,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,answeredManager,closed,2025-05-22 10:43:52.259,3NH2Q57QKQWJE37V
809354c2-d58b-44e3-a2a5-dbe77c66b4c1,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,eabfeed2-bcf3-4530-b2c3-20fbdd3f965a,open,answered,2025-05-29 09:19:11.133,G5LJ2CH9PRAMRT7X
972f3676-3645-4c5b-a5bf-b865761aecd5,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,16f0e834-6a58-48ab-b7f8-2c678dcbffaa,answered,closed,2025-05-29 10:28:33.15,U8Q2F3P4M3PWWQXF
c417cc4e-d8c6-4af5-ac53-09f91baa2fdd,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,6f61287e-aabf-4244-9508-328892a68dcd,open,answered,2025-06-10 08:26:17.588,Z3429E4KRUPBNHD4
58faf849-0f60-45c6-858f-b988310d8aca,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,6f61287e-aabf-4244-9508-328892a68dcd,answered,closed,2025-06-10 08:35:28.949,Z3429E4KRUPBNHD4
2235e291-0289-4ca9-8883-d8e7019d09d5,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,45153a66-5422-4e2f-9a8e-0e3713ff9d2f,open,answered,2025-06-10 14:55:51.727,FM42EJFZPNC5F3HF
a9950862-67f1-41ae-b16b-0518216ad26a,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,0cd75373-6a38-46af-b878-5abccb5640ca,,open,2025-06-23 12:29:24.374,7XGJKR7GMJ4QN93J
702b5ab1-87a9-499e-b064-112d36e8742b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,703cfc1d-6e3f-4588-8cce-bb97d726d407,openRev2,answeredRev1,2025-06-23 13:57:20.687,67E2T63RRMUGH3NG
2aa1ae12-5a54-4093-9531-731e590f33e2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,a8f7f8a0-223e-43e2-8f86-03c530677d76,openRev2,answeredRev1,2025-06-23 14:09:44.019,67E2T63RRMUGH3NG
deb11c8b-f1fd-4f7a-9da7-eb4c6b199428,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,,submitted,2025-06-27 05:07:43.913,U8Q2F3P4M3PWWQXF
cbb1dc5d-52a0-4144-a5b6-eeaee5b8a5b2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,submitted,openRev1,2025-06-27 09:33:15.1,U8Q2F3P4M3PWWQXF
ee6976d9-ab14-4db2-ab31-aaf87135fea0,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,53f61369-aaca-4d22-952f-b49d2e81fbf4,,open,2025-06-28 07:09:11.017,7XGJKR7GMJ4QN93J
70a31bcc-5396-4786-8c97-4fadec77da59,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,0cd75373-6a38-46af-b878-5abccb5640ca,open,answered,2025-07-04 08:53:17.757,G5LJ2CH9PRAMRT7X
aa2fb38b-6796-4c0e-9879-f7e7ee0e0f98,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,53f61369-aaca-4d22-952f-b49d2e81fbf4,open,answered,2025-07-04 10:32:59.102,S762NMGBKUB423MM
1c3f32bc-e980-4e4b-8b28-d3726929aa92,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,0cd75373-6a38-46af-b878-5abccb5640ca,answered,closed,2025-07-05 03:48:48.606,7XGJKR7GMJ4QN93J
d5c1301e-5a04-43ef-a0f1-40468f557d06,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,53f61369-aaca-4d22-952f-b49d2e81fbf4,answered,closed,2025-07-05 03:50:55.495,7XGJKR7GMJ4QN93J
4537e06a-e83f-46c5-9fe3-5891ccaa4042,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,87adb94e-c40f-4f41-be00-b99e961003af,,open,2025-07-10 11:35:13.178,7XGJKR7GMJ4QN93J
39c89c19-83c5-410b-b3a7-a90d6a765f74,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,dab585c9-a66f-4494-9db2-798dc6fc7e3e,answeredManager,closed,2025-07-10 13:19:07.913,SFB2VPYZKPQ7XEGT
