weather_id,bim360_account_id,bim360_project_id,hour,summary_key,temp,wind_speed,wind_bearing,humidity,fetched_at,created_at,updated_at
19645172,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,78.314,5.7,212,0.930,2025-08-06 09:48:15.425267,2025-07-28 10:17:58.171853,2025-08-06 09:48:15.440709
19645172,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,MostlyCloudy,84.524,4.7,243,0.800,2025-08-06 09:48:15.425564,2025-07-28 10:17:58.171856,2025-08-06 09:48:15.440711
19645172,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,MostlyCloudy,85.838,1.8,182,0.760,2025-08-06 09:48:15.425798,2025-07-28 10:17:58.171857,2025-08-06 09:48:15.440711
19066072,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,07:00:00,PartlyCloudy,81.824,1.9,239,0.850,2025-07-08 09:49:20.035634,2025-07-07 04:25:53.181633,2025-07-08 09:49:20.05739
19066072,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,12:00:00,MostlyCloudy,90.86,6.0,297,0.670,2025-07-08 09:49:20.036156,2025-07-07 04:25:53.181636,2025-07-08 09:49:20.057391
19066072,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,16:00:00,Cloudy,93.002,6.6,301,0.590,2025-07-08 09:49:20.036566,2025-07-07 04:25:53.181637,2025-07-08 09:49:20.058613
18914367,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,MostlyCloudy,84.02,4.0,60,0.830,2025-07-09 09:40:02.525076,2025-06-30 10:05:08.80161,2025-07-09 09:40:02.557168
18914367,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,PartlyCloudy,93.992,5.1,136,0.610,2025-07-09 09:40:02.525513,2025-06-30 10:05:08.801612,2025-07-09 09:40:02.559253
18914367,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,PartlyCloudy,94.388,3.2,253,0.570,2025-07-09 09:40:02.525911,2025-06-30 10:05:08.801613,2025-07-09 09:40:02.561503
18914366,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,PartlyCloudy,82.922,5.3,100,0.850,2025-07-08 09:02:43.186099,2025-06-30 10:05:08.797846,2025-07-08 09:02:43.205065
18914366,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,MostlyClear,92.318,6.6,107,0.630,2025-07-08 09:02:43.186384,2025-06-30 10:05:08.797848,2025-07-08 09:02:43.206407
18914366,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,PartlyCloudy,94.388,5.0,88,0.560,2025-07-08 09:02:43.186623,2025-06-30 10:05:08.797849,2025-07-08 09:02:43.207593
18445750,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,07:00:00,PartlyCloudy,80.312,4.7,130,0.880,2025-06-19 09:52:32.901603,2025-06-11 05:18:09.093536,2025-06-19 09:52:32.919114
18445750,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,12:00:00,MostlyCloudy,85.676,6.3,126,0.730,2025-06-19 09:52:32.901899,2025-06-11 05:18:09.093539,2025-06-19 09:52:32.920478
18445750,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,16:00:00,MostlyCloudy,88.43,6.9,133,0.650,2025-06-19 09:52:32.902137,2025-06-11 05:18:09.09354,2025-06-19 09:52:32.921265
19812217,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,81.392,3.7,228,0.920,2025-08-12 05:29:57.764898,2025-08-02 07:37:19.264043,2025-08-12 05:29:57.785657
19812217,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,87.062,4.5,257,0.810,2025-08-12 05:29:57.765202,2025-08-02 07:37:19.264045,2025-08-12 05:29:57.786641
19812217,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Cloudy,87.296,2.8,290,0.790,2025-08-12 05:29:57.76544,2025-08-02 07:37:19.264046,2025-08-12 05:29:57.786643
19812216,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,MostlyCloudy,80.186,3.3,200,0.930,2025-08-11 11:21:30.838143,2025-08-02 07:37:19.259631,2025-08-11 11:21:30.853866
19812216,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,MostlyCloudy,88.052,3.9,215,0.750,2025-08-11 11:21:30.838443,2025-08-02 07:37:19.259633,2025-08-11 11:21:30.854437
19812216,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,MostlyCloudy,89.366,4.4,203,0.730,2025-08-11 11:21:30.838702,2025-08-02 07:37:19.259634,2025-08-11 11:21:30.854891
19419609,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,07:00:00,PartlyCloudy,79.826,7.7,65,0.850,2025-07-18 09:36:19.81939,2025-07-18 09:36:19.850592,2025-07-18 09:36:19.850594
19419609,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,12:00:00,MostlyCloudy,87.512,12.1,82,0.670,2025-07-18 09:36:19.819991,2025-07-18 09:36:19.850596,2025-07-18 09:36:19.850596
19419609,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,16:00:00,Drizzle,87.944,11.4,78,0.670,2025-07-18 09:36:19.820437,2025-07-18 09:36:19.850597,2025-07-18 09:36:19.850598
19057106,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,80.204,5.9,89,0.930,2025-07-14 06:41:36.340831,2025-07-04 08:47:14.663019,2025-07-14 06:41:36.358793
19057106,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,87.62,8.9,113,0.760,2025-07-14 06:41:36.341127,2025-07-04 08:47:14.663022,2025-07-14 06:41:36.358795
19057106,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Cloudy,89.312,6.8,126,0.730,2025-07-14 06:41:36.341361,2025-07-04 08:47:14.663023,2025-07-14 06:41:36.36061
19057106,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,80.204,5.9,89,0.930,2025-07-14 06:41:36.340831,2025-07-04 08:47:14.663019,2025-07-14 06:41:36.358793
19057106,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,87.62,8.9,113,0.760,2025-07-14 06:41:36.341127,2025-07-04 08:47:14.663022,2025-07-14 06:41:36.358795
19057106,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Cloudy,89.312,6.8,126,0.730,2025-07-14 06:41:36.341361,2025-07-04 08:47:14.663023,2025-07-14 06:41:36.36061
